player,total_hands,vpip_hands,pfr_hands,channels_played_count,months_played_count,channels_played,VPIP,PFR,heuristic_label,vpip_minus_pfr,cluster
AZg,95,91,88,2,1,"holdem,holdem1",95.78947368421052,92.63157894736842,LAG,3.1578947368420955,1
jamezhx,95,42,7,1,1,holdem,44.21052631578947,7.368421052631578,Fish,36.8421052631579,0
pigdog,95,72,7,1,2,holdem,75.78947368421053,7.368421052631578,Fish,68.42105263157896,2
camel,95,57,25,1,3,holdem,60.0,26.31578947368421,LAG,33.684210526315795,3
tight1,95,33,21,1,1,holdem,34.73684210526316,22.105263157894736,LAG,12.63157894736842,0
Stash,95,42,4,1,1,holdem,44.21052631578947,4.2105263157894735,Fish,40.0,0
victorvdb,95,58,14,2,2,"holdem,holdem1",61.05263157894737,14.736842105263156,Fish,46.31578947368421,2
oveD_rD,95,42,22,1,1,holdem,44.21052631578947,23.157894736842103,LAG,21.052631578947366,0
mamoru,95,59,1,2,1,"holdem,holdem1",62.10526315789474,1.0526315789473684,Fish,61.05263157894737,2
squanto,95,57,6,1,3,holdem,60.0,6.315789473684211,Fish,53.68421052631579,2
seco,95,37,10,1,1,holdem,38.94736842105263,10.526315789473683,Fish,28.421052631578945,0
pupil,94,24,5,1,1,holdem,25.53191489361702,5.319148936170213,Fish,20.21276595744681,0
JanAd,94,44,6,1,2,holdem,46.80851063829788,6.382978723404255,Fish,40.42553191489362,0
mcmxxxix,94,39,9,1,1,holdem,41.48936170212766,9.574468085106384,Fish,31.91489361702128,0
Scandal,94,57,5,1,1,holdem,60.63829787234043,5.319148936170213,Fish,55.319148936170215,2
clazy-bet,94,54,24,1,1,holdem,57.44680851063831,25.53191489361702,LAG,31.914893617021285,3
Shrink4,94,46,1,1,1,holdem,48.93617021276596,1.0638297872340423,Fish,47.87234042553192,0
Gravlax2,94,45,16,1,2,holdem,47.87234042553192,17.02127659574468,LAG,30.85106382978724,0
Dr_No,94,74,11,1,1,holdem,78.72340425531915,11.702127659574469,Fish,67.02127659574468,2
EatmyShit,94,62,60,1,3,holdem,65.95744680851064,63.82978723404256,LAG,2.1276595744680837,1
Longsdale,94,47,26,1,2,holdem,50.0,27.659574468085108,LAG,22.34042553191489,3
blueski,94,53,12,1,1,holdem,56.38297872340425,12.76595744680851,Fish,43.617021276595736,2
Kaz,94,48,14,1,2,holdem,51.06382978723404,14.893617021276595,Fish,36.17021276595744,2
cptbf,94,40,2,1,1,holdem,42.5531914893617,2.127659574468085,Fish,40.42553191489362,0
Kingsford,94,19,2,1,3,holdem,20.212765957446805,2.127659574468085,Rock,18.08510638297872,0
Bagpuss,94,60,14,2,1,"holdem,holdem1",63.82978723404256,14.893617021276595,Fish,48.93617021276596,2
